trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
164,False,"{'a': 0.005, 'e': 0.44043165450599925}",20,12,7.155920071828968,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.005, 'e': 0.4382349924649492}",30,10,-9.244765501632202,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
166,False,"{'a': 0.005, 'e': 0.43604928632153556}",25,0,-30.213156262240084,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
167,False,"{'a': 0.005, 'e': 0.4338744814329909}",30,18,-2.8008012607573276,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
168,False,"{'a': 0.005, 'e': 0.43171052342907973}",20,0,-96.10618220811361,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
169,False,"{'a': 0.005, 'e': 0.42955735821073915}",25,7,12.107475656818613,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.005, 'e': 0.4274149319487267}",20,5,11.695114832878062,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.005, 'e': 0.42528319108227414}",20,1,21.50115285790766,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.005, 'e': 0.4231620823177488}",25,17,-9.510420008736453,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.005, 'e': 0.4210515526273212}",35,18,-86.9396399955852,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 1}",1
174,False,"{'a': 0.005, 'e': 0.418951549247639}",25,0,15.179160762634762,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
175,False,"{'a': 0.005, 'e': 0.4168620196785084}",25,20,9.890734810212443,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.005, 'e': 0.4147829116815814}",25,11,-31.457614550326515,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
177,False,"{'a': 0.005, 'e': 0.4127141732790497}",35,0,-14.946361732893566,"{0: 28, 1: 3, 2: 4, 3: 0, 4: 0}",1
178,False,"{'a': 0.005, 'e': 0.4106557527523455}",25,8,3.968672347917823,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.005, 'e': 0.40860759864084845}",20,9,-132.65335392390227,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 3}",1
180,False,"{'a': 0.005, 'e': 0.4065696597405991}",25,13,-42.49614242500294,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 0}",1
181,False,"{'a': 0.005, 'e': 0.4045418851030188}",20,11,17.054365499184392,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.005, 'e': 0.40252422403363597}",30,15,-24.323705662240503,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
